Time,EMG
0.19875,0.15
0.199,0.1517
0.19925,0.1683
0.1995,0.1667
0.19975,0.0967
0.2,0.3517
0.20025,0.0717
0.2005,0.0667
0.20075,0.335
0.201,0.1367
0.20125,-0.1483
0.2015,-0.205
0.20175,-0.1483
0.202,-0.145
0.20225,-0.07
0.2025,-0.0667
0.20275,-0.03
0.203,-0.0283
0.20325,-0.0133
0.2035,-0.0133
0.20375,-0.0017
0.204,-0.0017
0.20425,0.0067
0.2045,0.0067
0.20475,0.0033
0.205,0.005
0.20525,-0.005
0.2055,-0.0067
0.20575,-0.015
0.206,-0.015
0.20625,-0.0083
0.2065,-0.01
0.20675,-0.005
0.207,-0.005
0.20725,-0.0033
0.2075,-0.0033
0.20775,-0.0067
0.208,-0.0067
0.20825,-0.0183
0.2085,-0.02
0.20875,-0.045
0.209,-0.045
0.20925,-0.0617
0.2095,-0.0617
0.20975,-0.0683
0.21,-0.0683
0.21025,-0.0717
0.2105,-0.07
0.21075,-0.0733
0.211,-0.0733
0.21125,-0.0867
0.2115,-0.0867
0.21175,-0.095
0.212,-0.095
0.21225,-0.1017
0.2125,-0.1017
0.21275,-0.1067
0.213,-0.1067
0.21325,-0.11
0.2135,-0.1083
0.21375,-0.1117
0.214,-0.1133
0.21425,-0.11
0.2145,-0.1083
0.21475,-0.0983
0.215,-0.0967
0.21525,-0.085
0.2155,-0.085
0.21575,-0.0917
0.216,-0.0917
0.21625,-0.1033
0.2165,-0.1033
0.21675,-0.1233
0.217,-0.125
0.21725,-0.1383
0.2175,-0.1383
0.21775,-0.145
0.218,-0.1433
0.21825,-0.15
0.2185,-0.15
0.21875,-0.1667
0.219,-0.1683
0.21925,-0.1983
0.2195,-0.2
0.21975,-0.2333
0.22,-0.2333
0.22025,-0.2583
0.2205,-0.26
0.22075,-0.2717
0.221,-0.2733
0.22125,-0.27
0.2215,-0.2717
0.22175,-0.2667
0.222,-0.27
0.22225,-0.2667
0.2225,-0.2667
0.22275,-0.2633
0.223,-0.265
0.22325,-0.2683
0.2235,-0.2683
0.22375,-0.2617
0.224,-0.2617
0.22425,-0.255
0.2245,-0.2567
0.22475,-0.2467
0.225,-0.2483
0.22525,-0.2433
0.2255,-0.2433
0.22575,-0.235
0.226,-0.235
0.22625,-0.225
0.2265,-0.225
0.22675,-0.2083
0.227,-0.2083
0.22725,-0.195
0.2275,-0.1933
0.22775,-0.17
0.228,-0.1683
0.22825,-0.1367
0.2285,-0.1367
0.22875,-0.0983
0.229,-0.0983
0.22925,-0.0533
0.2295,-0.0517
0.22975,-0.0133
0.23,-0.0133
0.23025,0.0067
0.2305,0.0067
0.23075,0.0133
0.231,0.0133
0.23125,0.0217
0.2315,0.0183
0.23175,0.0233
0.232,0.0233
0.23225,0.0283
0.2325,0.0283
0.23275,0.035
0.233,0.0333
0.23325,0.0417
0.2335,0.0417
0.23375,0.0483
0.234,0.0483
0.23425,0.0533
0.2345,0.0533
0.23475,0.0583
0.235,0.0583
0.23525,0.0683
0.2355,0.0683
0.23575,0.0733
0.236,0.0733
0.23625,0.0783
0.2365,0.08
0.23675,0.0867
0.237,0.0867
0.23725,0.0917
0.2375,0.0917
0.23775,0.0933
0.238,0.0917
0.23825,0.0933
0.2385,0.0917
0.23875,0.0967
0.239,0.0967
0.23925,0.105
0.2395,0.105
0.23975,0.115
0.24,0.1133
0.24025,0.1283
0.2405,0.1283
0.24075,0.1417
0.241,0.1417
0.24125,0.1517
0.2415,0.1517
0.24175,0.1583
0.242,0.1583
0.24225,0.1633
0.2425,0.165
0.24275,0.16
0.243,0.1583
0.24325,0.165
0.2435,0.165
0.24375,0.17
0.244,0.17
0.24425,0.175
0.2445,0.1767
0.24475,0.185
0.245,0.185
0.24525,0.19
0.2455,0.1883
0.24575,0.1967
0.246,0.1967
0.24625,0.215
0.2465,0.2167
0.24675,0.2367
0.247,0.2383
0.24725,0.2717
0.2475,0.2733
0.24775,0.34
0.248,0.34
0.24825,0.385
0.2485,0.3667
0.24875,0.0867
0.249,0.0767
0.24925,0.1167
0.2495,0.09
0.24975,0.17
0.25,0.1
